Query_ID,Query_Text,Actual_Category,Predicted_Category,Confidence,Correct,Sentiment,Platform,Expected_Automation_Rate,Expected_Resolution_Path,Expected_Response_Time_ms,Customer_Satisfaction_Score
OT-001,Can you track my order #ORD-98765?,Order Tracking,Order Tracking,0.98,True,Neutral,Email,95%,Path A - API Resolution,210,4.5
OT-002,Where's my package? Order ORD-45321,Order Tracking,Order Tracking,0.98,True,Neutral,WhatsApp,95%,Path A - API Resolution,210,4.5
OT-003,How do I check my order status? ORD-11122,Order Tracking,Order Tracking,0.98,True,Neutral,Chat,95%,Path A - API Resolution,210,4.5
OT-004,What's the status of order #ORD-56789?,Order Tracking,Order Tracking,0.98,True,Neutral,Email,95%,Path A - API Resolution,210,4.5
OT-005,Can you provide tracking for ORD-77889?,Order Tracking,Order Tracking,0.95,True,Neutral,Instagram,95%,Path A - API Resolution,210,4.5
OT-006,I need to know my order status ASAP! ORD-33445,Order Tracking,Order Tracking,0.98,True,Negative,WhatsApp,95%,Path A - API Resolution,210,4.5
OT-007,Where is my order ORD-99887? I've been waiting!,Order Tracking,Order Tracking,0.98,True,Negative,Email,95%,Path A - API Resolution,210,4.5
OT-008,When will my fitness equipment arrive? ORD-22334,Order Tracking,Order Tracking,0.85,True,Neutral,Chat,95%,Path A - API Resolution,210,4.5
OT-009,Check delivery for ORD-55443 please,Order Tracking,Order Tracking,0.98,True,Positive,WhatsApp,95%,Path A - API Resolution,210,4.5
OT-010,I'm checking order ORD-66554. Any updates?,Order Tracking,Order Tracking,0.98,True,Neutral,Email,95%,Path A - API Resolution,210,4.5
OT-011,Track order #ORD-12345 and let me know when it arrives,Order Tracking,Order Tracking,0.98,True,Neutral,Chat,95%,Path A - API Resolution,210,4.5
OT-012,Does my order ORD-88776 have GPS tracking?,Order Tracking,Order Tracking,0.98,True,Neutral,WhatsApp,95%,Path B - RAG Response,320,4.5
OT-013,"I placed 3 orders. Status on ORD-11223, ORD-33445, ORD-55667?",Order Tracking,Order Tracking,0.98,True,Neutral,Email,95%,Path A - API Resolution,210,4.5
OT-014,Order ORD-44332: Where exactly is it?,Order Tracking,Order Tracking,0.98,True,Negative,Chat,95%,Path A - API Resolution,210,4.5
